Subject,MatPath,ErrorLoading,TimePoints,RawROIs,RawROIsMatchExpected,NaNsCount,NaNsPct,ZerosCount,ZerosPct,NullChannelsCount,NullChannelsPct,UnivOutliersCount,UnivOutliersPct,MeanOriginalVariance,MVOutliersCount,MVOutliersPct,MVAnalysisSkipped,MVAnalysisMethod,ROIs_for_MV,ROI_Processing_Log,DVARS_mean,FD_mean,tSNR_mean,MRIQC_score
002_S_0295,ROISignals_002_S_0295.mat,False,140,100,True,0,0.0,0,0.0,0,0.0,102,0.7285714285714285,1445.3943126203208,19,13.571428571428571,,MCD,100,Se usarán las 100 ROIs del atlas Schaefer.,,,,
002_S_0413,ROISignals_002_S_0413.mat,False,140,100,True,0,0.0,0,0.0,0,0.0,11,0.07857142857142857,1479.9708359040926,19,13.571428571428571,,MCD,100,Se usarán las 100 ROIs del atlas Schaefer.,,,,
002_S_0685,ROISignals_002_S_0685.mat,False,140,100,True,0,0.0,0,0.0,0,0.0,17,0.12142857142857143,812.3367841264203,19,13.571428571428571,,MCD,100,Se usarán las 100 ROIs del atlas Schaefer.,,,,
002_S_0729,ROISignals_002_S_0729.mat,False,140,100,True,0,0.0,0,0.0,0,0.0,10,0.07142857142857142,1634.8663803230147,19,13.571428571428571,,MCD,100,Se usarán las 100 ROIs del atlas Schaefer.,,,,
002_S_1155,ROISignals_002_S_1155.mat,False,197,100,True,0,0.0,0,0.0,0,0.0,48,0.2436548223350254,2386.5665357683897,51,25.888324873096447,,MCD,100,Se usarán las 100 ROIs del atlas Schaefer.,,,,
002_S_2010,ROISignals_002_S_2010.mat,False,140,100,True,0,0.0,0,0.0,0,0.0,27,0.19285714285714287,1179.9071406296277,19,13.571428571428571,,MCD,100,Se usarán las 100 ROIs del atlas Schaefer.,,,,
002_S_2043,ROISignals_002_S_2043.mat,False,140,100,True,0,0.0,0,0.0,0,0.0,18,0.12857142857142856,1375.465626486515,19,13.571428571428571,,MCD,100,Se usarán las 100 ROIs del atlas Schaefer.,,,,
002_S_2073,ROISignals_002_S_2073.mat,False,140,100,True,0,0.0,0,0.0,0,0.0,8,0.05714285714285714,636.9726555429437,19,13.571428571428571,,MCD,100,Se usarán las 100 ROIs del atlas Schaefer.,,,,
002_S_4171,ROISignals_002_S_4171.mat,False,140,100,True,0,0.0,0,0.0,0,0.0,26,0.18571428571428572,1521.9164341656713,19,13.571428571428571,,MCD,100,Se usarán las 100 ROIs del atlas Schaefer.,,,,
002_S_4213,ROISignals_002_S_4213.mat,False,140,100,True,0,0.0,0,0.0,0,0.0,23,0.16428571428571428,1465.3366294204739,19,13.571428571428571,,MCD,100,Se usarán las 100 ROIs del atlas Schaefer.,,,,
